"fixture_id","h2h_last","h2h_matches","h2h_home_wins","h2h_draws","h2h_away_wins","h2h_home_goals_for","h2h_home_goals_against","h2h_home_goal_diff","updated_at"
"1391062",10,10,7,1,2,"2.1","1.3","0.8","2025-12-14 17:18:44.883021-08"
"1391063",10,10,5,4,1,"1.6","1.2","0.4","2025-12-14 17:18:45.940046-08"
"1391064",10,10,3,3,4,"1.1","1.4","-0.3","2025-12-14 17:18:43.791199-08"
"1391065",10,10,3,1,6,"0.9","1","-0.1","2025-12-14 17:18:45.353976-08"
"1391066",10,10,0,3,7,"0.6","2.2","-1.6","2025-12-14 17:18:46.883571-08"
"1391067",10,1,0,0,1,"0","1","-1","2025-12-14 17:18:47.907785-08"
"1391068",10,10,4,3,3,"1.3","1.2","0.1","2025-12-14 17:18:43.313425-08"
"1391069",10,10,7,0,3,"2.7","1.6","1.1","2025-12-14 17:19:09.170075-08"
"1391070",10,10,3,4,3,"1","0.9","0.1","2025-12-14 17:19:11.080017-08"
"1391071",10,10,2,4,4,"1.2","1.6","-0.4","2025-12-14 17:19:07.640213-08"
"1391072",10,10,4,4,2,"1.2","1","0.2","2025-12-14 17:19:07.165557-08"
"1391073",10,10,3,3,4,"1.2","1","0.2","2025-12-14 17:19:10.121275-08"
"1391074",10,10,2,3,5,"0.6","0.8","-0.2","2025-12-14 17:19:10.605137-08"
"1391075",10,10,1,1,8,"0.8","1.9","-1.1","2025-12-14 17:19:08.220351-08"
"1391076",10,10,8,1,1,"1.2","0.2","1","2025-12-14 17:19:08.70069-08"
"1391077",10,2,0,0,2,"0","2","-2","2025-12-14 17:19:11.576153-08"
"1391078",10,10,4,2,4,"1.4","1.3","0.1","2025-12-14 17:19:09.653415-08"
"1391079",10,10,1,1,8,"0.5","2.3","-1.8","2025-12-14 17:19:34.186586-08"
"1391080",10,9,5,3,1,"1.5555556","0.7777778","0.7777778","2025-12-14 17:19:31.215974-08"
"1391081",10,10,1,0,9,"1.1","2.8","-1.7","2025-12-14 17:19:32.705679-08"
"1391082",10,7,4,1,2,"1.2857143","0.71428573","0.5714286","2025-12-14 17:19:32.227234-08"
"1391083",10,10,2,3,5,"0.8","1","-0.2","2025-12-14 17:19:31.724816-08"
"1391084",10,7,3,2,2,"1.8571428","1.2857143","0.5714286","2025-12-14 17:19:34.668818-08"
"1391085",10,10,3,5,2,"1.3","1.3","0","2025-12-14 17:19:33.730273-08"
"1391086",10,10,5,4,1,"1.7","0.7","1","2025-12-14 17:19:33.164219-08"
"1391087",10,10,2,3,5,"0.9","0.9","0","2025-12-14 17:19:35.23688-08"
"1391088",10,10,4,4,2,"1.6","1","0.6","2025-12-14 17:19:35.694386-08"
"1391089",10,10,3,2,5,"1.2","2.1","-0.9","2025-12-14 17:19:57.98408-08"
"1391090",10,10,7,2,1,"2.5","1","1.5","2025-12-14 17:19:55.565434-08"
"1391091",10,10,8,1,1,"2.4","0.8","1.6","2025-12-14 17:19:57.509948-08"
"1391092",10,10,2,3,5,"1.4","1.8","-0.4","2025-12-14 17:19:58.974409-08"
"1391093",10,10,4,2,4,"1.4","1.5","-0.1","2025-12-14 17:19:56.982358-08"
"1391094",10,10,3,2,5,"1.1","1.3","-0.2","2025-12-14 17:19:56.495267-08"
"1391095",10,10,5,1,4,"1.9","1.7","0.2","2025-12-14 17:19:58.493939-08"
"1391096",10,10,7,3,0,"2.5","0.9","1.6","2025-12-14 17:19:55.07419-08"
"1391097",10,10,4,1,5,"1.3","1.2","0.1","2025-12-14 17:19:59.456794-08"
"1391098",10,1,1,0,0,"2","1","1","2025-12-14 17:19:56.027537-08"
"1391099",10,10,3,4,3,"1.3","1.3","0","2025-12-14 17:20:18.835059-08"
"1391100",10,10,4,3,3,"1.1","0.8","0.3","2025-12-14 17:20:21.218598-08"
"1391101",10,10,7,2,1,"2.2","0.8","1.4","2025-12-14 17:20:19.805872-08"
"1391102",10,9,3,4,2,"1.2222222","1","0.22222222","2025-12-14 17:20:19.303227-08"
"1391103",10,10,5,2,3,"0.9","0.6","0.3","2025-12-14 17:20:20.73736-08"
"1391104",10,9,3,3,3,"1","1","0","2025-12-14 17:20:20.268847-08"
"1391105",10,8,2,2,4,"1","1.875","-0.875","2025-12-14 17:20:22.32866-08"
"1391106",10,10,2,4,4,"1.6","2.1","-0.5","2025-12-14 17:20:21.738483-08"
"1391107",10,10,3,5,2,"1.1","0.8","0.3","2025-12-14 17:20:22.797879-08"
"1391108",10,10,4,2,4,"1.5","1.4","0.1","2025-12-14 17:20:23.368004-08"
"1391109",10,10,3,2,5,"0.9","1.3","-0.4","2025-12-14 17:20:39.439777-08"
"1391110",10,10,1,1,8,"1.1","2.3","-1.2","2025-12-14 17:20:42.368644-08"
"1391111",10,10,6,3,1,"1.8","1","0.8","2025-12-14 17:20:40.428038-08"
"1391112",10,10,1,6,3,"0.8","1.5","-0.7","2025-12-14 17:20:38.936133-08"
"1391113",10,10,1,1,8,"0.5","1.8","-1.3","2025-12-14 17:20:41.396981-08"
"1391114",10,10,1,1,8,"0.6","2.3","-1.7","2025-12-14 17:20:37.878509-08"
"1391115",10,10,3,2,5,"1.2","1.7","-0.5","2025-12-14 17:20:39.92566-08"
"1391116",10,10,4,2,4,"1.3","1.2","0.1","2025-12-14 17:20:41.891692-08"
"1391117",10,1,0,0,1,"0","4","-4","2025-12-14 17:20:38.351741-08"
"1391118",10,10,6,2,2,"1.7","1.1","0.6","2025-12-14 17:20:40.917648-08"
"1391119",10,10,4,4,2,"1.2","1.2","0","2025-12-14 17:21:01.649065-08"
"1391120",10,10,7,3,0,"2.2","0.8","1.4","2025-12-14 17:21:03.116196-08"
"1391121",10,1,0,1,0,"2","2","0","2025-12-14 17:21:03.707624-08"
"1391122",10,10,2,1,7,"0.9","1.9","-1","2025-12-14 17:21:01.159289-08"
"1391123",10,10,3,4,3,"0.9","1.2","-0.3","2025-12-14 17:21:04.644166-08"
"1391124",10,10,6,2,2,"1.6","0.9","0.7","2025-12-14 17:21:02.653338-08"
"1391125",10,10,1,2,7,"1","2.1","-1.1","2025-12-14 17:21:05.601333-08"
"1391126",10,10,6,2,2,"2.4","1.1","1.3","2025-12-14 17:21:02.138153-08"
"1391127",10,10,4,3,3,"1.2","0.9","0.3","2025-12-14 17:21:05.117514-08"
"1391128",10,10,1,2,7,"0.8","2.1","-1.3","2025-12-14 17:21:04.177859-08"
